pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
27.046062,4.0112559999999995,15.726556,27.549462,4.077571,15.789352,27.629857,4.031251,14.972925,27.362585,1.346283,13.091964,27.864721000000003,0.9344809999999999,12.413434,26.331490000000002,0.242669,12.171425,25.052739000000003,-0.223156,12.772099,,,
27.044546999999998,4.022817,15.723934,27.547175,4.090558000000001,15.789829999999998,27.624724,4.044038,14.983203,27.361621999999997,1.351725,13.093732000000001,27.865035,0.938643,12.414492999999998,26.333880999999998,0.24108000000000002,12.175868,25.053494,-0.224158,12.773474,,,
27.041517,4.033386,15.721779999999999,27.544110999999997,4.101619,15.788120000000001,27.621564000000003,4.053692,14.981182,27.36115,1.35735,13.093884,27.863964000000003,0.9426979999999999,12.415908,26.334751,0.24147399999999997,12.177589,25.054135000000002,-0.223073,12.771778,,,
27.038487,4.043954,15.719626000000002,27.540583,4.111515,15.787172,27.617783000000003,4.062281,14.980906,27.358908000000003,1.366552,13.092724,27.863613,0.9492280000000001,12.415965,26.33701,0.24196199999999998,12.178974,25.055668,-0.22208699999999998,12.771358,,,
27.034569,4.054591,15.716188,27.535878999999998,4.123108,15.782348,27.613712,4.0749059999999995,14.974392000000002,27.358178999999996,1.3742809999999999,13.094745,27.862902000000002,0.956478,12.417530000000001,26.337227000000002,0.244734,12.179696,25.055644,-0.221602,12.771823,,,
27.029905,4.065695,15.710916000000001,27.53182,4.132853,15.779010999999999,27.608774,4.084693,14.969823000000002,27.35512,1.386862,13.098435,27.861421999999997,0.964708,12.41774,26.338072999999998,0.245612,12.181875999999999,25.056399,-0.222604,12.773197,,,
27.02357,4.0783190000000005,15.703426,27.524690999999997,4.146427,15.770135999999999,27.601540000000004,4.097343,14.961132999999998,27.3544,1.4180270000000001,13.119645000000002,27.860224,0.971774,12.420914999999999,26.338315,0.24789899999999998,12.182139999999999,25.057291,-0.222703,12.774474,,,
27.016609000000003,4.089879,15.697688000000001,27.518494,4.156526,15.765341000000001,27.595978999999996,4.108478,14.954647,27.35282,1.4248610000000002,13.119496,27.858742,0.99175,12.426097,26.339269,0.250163,12.184681,25.057152,-0.22013200000000002,12.771867,,,
26.99343,4.122154,15.664320000000002,27.497545000000002,4.1854,15.735693,27.577232000000002,4.134012,14.929913,27.350345,1.4317739999999999,13.118082000000001,27.858665999999996,1.012567,12.445926,26.339353999999997,0.252033,12.1855,25.057883,-0.22064899999999998,12.773705999999999,,,
26.986437,4.1346940000000005,15.659483999999999,27.489658000000002,4.197508,15.729126999999998,27.569363,4.146086,14.923417,27.347741999999997,1.4377870000000001,13.116769,27.856571000000002,1.019708,12.447847,26.33881,0.255795,12.184861,25.058775,-0.220748,12.774983,,,
26.979753000000002,4.1422099999999995,15.660017000000002,27.482683,4.206638,15.727085,27.562902,4.155365,14.919765,27.344501,1.445678,13.113992000000001,27.854859,1.0256459999999998,12.447805,26.339789,0.257575,12.186944,25.058131,-0.21835900000000003,12.773975,,,
26.972879,4.1532230000000006,15.658764000000001,27.47658,4.216193,15.726772,27.556547,4.166021,14.91646,27.341897999999997,1.45169,13.112679,27.852482000000002,1.03395,12.446760000000001,26.339982,0.260831,12.188124,25.058887,-0.219361,12.77535,,,
26.964894,4.162507,15.66046,27.468197999999997,4.225708999999999,15.725548000000002,27.547565000000002,4.174446,14.917012,27.337759000000002,1.457185,13.112274,27.849851,1.040447,12.445917999999999,26.339571999999997,0.265495,12.187388,25.058107,-0.21787399999999998,12.77444,,,
