ID,Hop Number,Hop Length,Hop Phase,Sight,Max Extension,Max Protraction,Max Elevattion,Max Flexion,Max Retraction,Max Depression,Phase Duration (s),Initial Elb,Initial Pro/Ret,Intial Elev/Dep,Final Elb,Final Pro/Ret,Final Elev/Dep,Mean Elb,Mean Pro/Ret,Mean Elev/Dep,Hop Duration,Elb Ang Vel,HPR Ang Vel,HED Ang Vel,Hop Duration (s),Max Extension-Max Flexion
Zeus,3,SM,Impact Prep,Sighted,122.7677574,89.53985497,154.5245512,90.88982136,66.60194254,128.4539714,47,90.88982136,66.60194254,141.7613631,110.3167508,87.10944694,144.6885565,105.4383362,80.17098915,140.6040747,221,-206.6694621,-218.1649405,-31.14035537,0.094,
Zeus,3,SM,Landing,Sighted,107.3238861,84.28520658,151.2241881,49.70050307,40.73453623,124.6498436,43,107.3238861,84.28520658,150.5704573,81.79614834,41.41786547,124.6498436,67.59286451,52.80588597,138.351724,221,296.8341597,498.4574547,301.4024853,0.086,
Zeus,4,M,Initiation,Sighted,111.3289167,55.8410853,144.2562853,80.03812983,26.02386177,111.789124,68,81.4388963,52.78858312,141.9517758,104.3330212,28.92382448,117.0644448,92.86567934,41.60736975,128.8419215,186,-168.3391537,175.4761665,182.9950813,0.136,
Zeus,4,M,Forelimb LO,Sighted,99.34710421,71.15433116,152.4715707,80.44376642,28.2616189,116.4384872,48,98.94270741,28.2616189,121.2457774,91.96786772,69.08994348,142.3283819,88.36883564,49.6511595,136.2018198,186,72.65458016,-425.2950477,-219.6104636,0.096,
Zeus,4,M,Impact Prep,Sighted,113.0901198,84.31421199,153.8487966,88.5289678,70.23678279,132.4104665,31,88.89147949,73.0547286,152.2450651,100.2384552,77.40236042,143.2138825,101.108036,77.76186678,141.2890443,186,-183.0157364,-70.1230938,145.6642362,0.062,
Zeus,4,M,Landing,Sighted,130.1497362,78.05105893,146.515489,76.1715085,25.4673763,107.3243914,39,100.1161649,78.05105893,143.8810872,117.7160049,28.82750199,111.170617,95.60822804,40.56802632,126.1356875,186,-225.6389732,631.0712429,419.3650027,0.078,
Zeus,5,L,Initiation,Sighted,129.6614601,46.39502826,138.6736604,70.02097944,27.47346857,111.527524,66,70.12049429,36.99923197,134.0843067,113.285975,33.03149546,121.7284458,100.5860814,39.75073335,128.1426312,221,-327.0112174,30.05860989,93.60500666,0.132,
Zeus,5,L,Forelimb LO,Sighted,119.1610419,77.02436742,156.3022502,85.46602059,20.83580198,114.0723076,65,115.3598219,28.71475627,122.6817508,91.22648534,73.31214009,137.8269436,96.0998219,52.10372058,138.4666189,221,185.6410505,-343.0567986,-116.5014828,0.13,
Zeus,5,L,Impact Prep,Sighted,126.0384498,99.14492949,149.4184487,90.65851699,76.52590117,123.6427602,51,90.65851699,76.52590117,145.0401765,103.4752742,87.70607124,149.4184487,110.3185439,88.98214507,136.5340023,221,-125.6544824,-109.6095105,-42.92423754,0.102,
Zeus,5,L,Landing,Sighted,103.2212646,86.78527,163.0079272,59.23216648,56.04473313,145.1629339,39,100.9468853,83.83635459,154.5176387,69.21748508,57.47070459,147.4715308,68.7245545,65.26625212,154.2132816,221,406.7871828,338.0211538,90.33471631,0.078,
Zeus,6,S,Initiation,Sighted,101.3433258,30.26623635,126.3622214,71.30709768,14.22838708,115.1963309,56,71.30709768,22.05994478,120.595677,94.73585163,20.63012556,121.9995405,87.3852655,21.19522368,121.5662545,201,-209.1853031,12.76624302,-12.5344952,0.112,
Zeus,6,S,Forelimb LO,Sighted,92.95230732,53.05372003,147.5484531,55.21225414,15.1450539,111.1705389,45,92.95230732,27.47102174,117.6188197,65.02101603,51.02063411,147.5484531,67.39893804,32.0557615,123.9859077,201,310.3476811,-261.6623596,-332.5514816,0.09,
Zeus,6,S,Impact Prep,Sighted,98.16402923,79.77537619,160.0218751,64.76434742,53.44993298,140.6289431,33,69.21425208,54.71514854,149.9076883,90.74642738,76.65787507,153.7365173,82.12254964,68.177448,152.7540124,201,-326.2450803,-332.4655534,-58.01256042,0.066,
Zeus,6,S,Landing,Sighted,96.47693768,76.34684521,148.2367934,55.80164439,7.014160332,105.5441577,67,90.80337269,76.34684521,146.7506224,85.96265515,25.63329415,118.471346,79.85332316,26.76152164,123.0322873,201,36.12475777,378.4593362,211.0393759,0.134,
Zeus,8,SM,Initiation,Sighted,99.29849782,45.01047952,136.5615642,64.15090836,25.63504272,116.2218223,56,66.91068293,39.36985153,127.0753616,94.34009713,26.52724869,118.7639031,80.24030025,36.07544997,128.2469705,316,-244.9054839,114.6660968,74.2094505,0.112,
Zeus,8,SM,Forelimb LO,Sighted,95.9728562,62.41659176,156.364563,61.07511511,19.39227741,117.0247135,50,95.9728562,28.92348937,119.3934994,69.52544151,60.86516436,154.948648,71.92623463,39.83974594,133.5882773,316,264.4741469,-319.41675,-355.5514862,0.1,
Zeus,8,SM,Impact Prep,Sighted,108.6162177,85.97523874,159.1253014,61.07511511,19.39227741,116.2218223,141,64.56647506,39.85846424,134.8415066,97.50919294,79.08586711,143.1284833,81.36457116,48.65996153,135.9698866,316,-116.8181485,-139.1042655,-29.3864421,0.282,
Zeus,8,SM,Landing,Sighted,98.15545508,81.27623617,149.8234438,53.84957534,14.0164786,113.3045881,69,98.15545508,81.27623617,142.2028653,91.71791294,22.79475724,123.7499994,81.83506391,28.88323785,125.9565855,316,46.64885607,423.7788328,133.7164196,0.138,
Zeus,11,S,Initiation,Sighted,71.98249799,42.38543452,138.0882156,69.37784569,35.22553863,133.2036096,9,69.49221257,37.47546511,138.0663658,70.78882755,42.38543452,135.8621299,70.54577407,37.3442829,135.7930147,176,-72.03416546,-272.7760782,122.4575469,0.018,
Zeus,11,S,Forelimb LO,Sighted,74.42786942,49.10798671,141.0849976,54.44026073,25.22441152,117.052328,50,73.55941203,27.68730415,124.1199175,63.10874787,47.66593478,141.0849976,62.27652343,34.04303812,126.4840355,176,104.5066416,-199.7863063,-169.6508006,0.1,
Zeus,11,S,Impact Prep,Sighted,99.30083963,80.56946546,165.7567203,61.50951107,47.35830617,141.5065294,48,63.75616775,47.35830617,142.8658526,84.46853104,66.2114223,163.5697539,82.39621201,64.77818148,154.4764256,176,-215.7537843,-196.3866264,-215.6656384,0.096,
Zeus,11,S,Landing,Sighted,88.6690581,66.01364036,165.210682,59.049496,10.98837525,111.694953,69,88.6690581,66.01364036,159.4812045,80.44151098,27.30120658,115.3568365,75.46509697,27.59072681,126.3288298,176,59.61990668,280.5248825,319.7417966,0.138,
Zeus,14,S,Initiation,Sighted,75.19206513,38.06288178,133.1846495,67.66192554,31.06888258,121.7911622,41,67.66467604,33.11881511,126.4418039,74.93614648,31.98287995,121.7911622,71.59414463,34.25105286,128.2551794,193,-88.67646882,13.85286784,56.71514374,0.082,
Zeus,14,S,Forelimb LO,Sighted,75.11930809,47.38595599,142.4087612,47.60262404,16.78495358,112.3899423,63,75.11930809,33.65611725,124.6986978,52.16940848,46.9831601,142.4087612,57.73534912,28.27707483,122.1022872,193,182.1420604,-105.7701814,-140.5560589,0.126,
Zeus,14,S,Impact Prep,Sighted,85.78384318,76.11401549,146.0354936,51.24076296,43.10606887,124.4132586,42,51.24076296,43.96932931,139.3976896,77.01098871,72.52545189,134.3735253,70.42260801,64.85841097,135.6796548,193,-306.7884017,-339.9538403,59.81147967,0.084,
Zeus,14,S,Landing,Sighted,133.2669767,152.9191875,153.8311773,43.46185564,15.69290796,80.7874675,47,79.5551663,69.83790332,131.7889318,133.2669767,152.9191875,153.8311773,58.08616731,35.32856765,124.1231561,193,-571.4022383,-883.8434486,-234.4919743,0.094,
Zeus,16,ML,Initiation,Sighted,80.90409249,44.917734,128.6638409,66.47625586,19.06952206,110.7953063,59,67.89084117,44.917734,125.3046936,75.96891423,19.78265449,117.5806503,72.08615641,27.4900203,117.4463679,216,-68.45824633,213.0091484,65.45799397,0.118,
Zeus,16,ML,Forelimb LO,Sighted,78.41578487,53.76520655,138.488537,60.07035062,15.01872916,112.5185611,59,78.08292615,15.01872916,112.5185611,62.22437412,53.76520655,138.488537,66.89077565,33.32740568,123.7642193,216,134.3945087,-328.359978,-220.0845419,0.118,
Zeus,16,ML,Impact Prep,Sighted,82.07882213,71.46712672,133.720137,63.38515491,50.90495071,114.2675385,33,63.6538839,52.09725238,128.5702859,78.61135482,67.09100079,127.3345535,72.96326724,63.48153569,124.0214002,216,-226.6283473,-227.1780061,18.72321883,0.066,
Zeus,16,ML,Landing,Sighted,81.90382466,72.98009144,146.5427445,40.29437919,21.2134396,108.3960543,65,81.58277831,71.20093374,122.3927973,60.41280421,32.7555742,119.6681766,57.93517203,35.56994975,120.5911807,216,162.8459546,295.7335349,20.95862083,0.13,
Zeus,19,S,Initiation,Sighted,91.70486752,32.30362034,122.6434059,65.89945439,15.46806047,107.0343777,56,65.95715756,26.83880848,116.9817406,86.10881695,15.46806047,114.3695139,79.71411987,26.3777763,116.6396832,211,-179.9255303,101.5245358,23.32345256,0.112,
Zeus,19,S,Forelimb LO,Sighted,88.0228768,54.05808263,139.0831873,57.46670483,12.13114004,108.1914958,55,88.0228768,12.13114004,108.1914958,61.00372327,46.04455477,135.3763852,67.91918149,28.59736244,122.9099565,211,245.6286684,-308.3037703,-247.1353576,0.11,
Zeus,19,S,Impact Prep,Sighted,81.85426578,71.01788404,130.4636215,62.92300972,51.61860644,112.9990171,30,63.31178398,52.68074937,124.5705493,78.3629403,71.01788404,130.4636215,73.135802,63.2072846,121.9170772,211,-250.8526053,-305.6189112,-98.21786951,0.06,
Zeus,19,S,Landing,Sighted,77.36381855,64.80892174,138.8810392,45.89796815,18.23920083,108.8476231,70,72.58167736,59.88781305,135.7174974,76.44468091,18.23920083,114.1196873,61.7424881,31.21648564,120.3402143,211,-27.59288251,297.4900873,154.2700717,0.14,
Zeus,20,L,Initiation,Sighted,79.55703508,47.57964316,132.8974346,57.44405871,28.78716992,113.9099281,45,57.60858277,45.20141509,130.5096571,79.43321421,29.06046513,118.3096327,68.56996809,40.0262803,124.8186867,221,-242.4959048,179.3438885,135.5558269,0.09,
Zeus,20,L,Forelimb LO,Sighted,81.71608783,52.2306185,138.4623115,57.18567204,20.0918543,108.9411184,74,80.99431547,26.58278646,113.9095395,63.74964601,52.2306185,134.5649322,68.09848429,31.52717791,121.178253,221,116.5180369,-173.2961625,-139.5634642,0.148,
Zeus,20,L,Impact Prep,Sighted,97.01062542,80.97672086,141.7143567,64.0979546,54.25168297,106.4377422,48,64.0979546,54.25168297,134.9039662,87.75732056,76.89892163,119.0694942,83.44308804,69.68304718,121.5908253,221,-246.4517287,-235.908736,164.9424171,0.096,
Zeus,20,L,Landing,Sighted,85.96147121,74.85320678,127.6393931,40.83152704,13.84237049,103.1827316,54,85.96147121,74.85320678,118.5730812,56.69783345,21.55895788,108.0847854,54.26596671,33.52098577,113.9189404,221,270.9596088,493.4652676,97.11385007,0.108,
Zeus,21,L,Initiation,Sighted,93.50989828,46.94470775,124.969289,74.50219439,12.49222831,107.0395832,49,74.50219439,46.94470775,124.969289,85.63501064,20.27775757,115.0853226,82.46602703,31.12754564,117.8514431,196,-113.6001658,272.1117365,100.8568009,0.098,
Zeus,21,L,Forelimb LO,Sighted,89.16695771,57.79245182,143.2795145,59.87407335,11.55803856,110.3635525,46,89.16695771,18.12337124,114.1685077,64.84633734,53.9097971,143.2795145,68.13096655,34.20699491,125.2158811,196,264.3545692,-388.9828898,-316.4239871,0.092,
Zeus,21,L,Impact Prep,Sighted,95.88871623,78.47678709,143.1919986,64.9264137,56.01456025,112.9840749,36,64.9264137,56.01456025,143.1919986,90.53186357,78.47678709,129.6493974,81.40401652,69.20251996,131.1729023,196,-355.6312481,-311.9753728,188.0916835,0.072,
Zeus,21,L,Landing,Sighted,88.56862465,75.05084186,152.5899503,47.24101701,21.65941091,118.1794328,65,88.56862465,75.05084186,137.1341887,59.8229215,32.64825661,122.5427582,57.79496242,43.25482032,132.6632948,196,221.1207935,326.1737326,112.2417732,0.13,
Zeus,23,M,Initiation,Sighted,71.13889572,47.44918119,131.0547249,61.93226688,36.62852043,110.868023,35,61.93226688,44.96493065,127.8768193,70.5463956,36.8010036,118.6231738,66.21819064,43.18414045,123.3446792,201,-123.0589817,116.6275293,132.194936,0.07,
Zeus,23,M,Forelimb LO,Sighted,69.58157936,51.90694469,141.9458919,47.69466088,23.69158612,108.9572138,56,69.58157936,35.09332695,115.1404635,53.91262868,51.90694469,138.0066619,54.61183202,34.02258258,122.0051277,201,139.9013453,-150.121587,-204.1624856,0.112,
Zeus,23,M,Impact Prep,Sighted,88.39418333,73.79019712,142.8138208,54.24470993,48.53018565,118.8923265,42,54.24470993,48.53018565,139.274321,83.70962868,71.24958272,122.2896954,74.00906177,64.62240859,131.058844,201,-350.7728422,-270.4690128,202.1979238,0.084,
Zeus,23,M,Landing,Sighted,80.38044156,67.37839741,130.8423179,43.21272315,19.9554089,101.0792649,68,80.38044156,67.37839741,125.6858368,58.54229543,33.94352248,116.5196219,55.7283832,34.08222624,114.864441,201,160.5746039,245.8446686,67.398639,0.136,
Zeus,28,ML,Initiation,Blind,108.8637129,30.78992146,115.7902682,69.40731402,9.691134487,100.6406676,64,69.40731402,28.1904859,115.7902682,104.0879354,21.8260536,111.9371512,90.81963582,21.686041,107.5434641,211,-270.9423545,49.7221274,30.10247656,0.128,
Zeus,28,ML,Forelimb LO,Blind,105.1333197,61.12728856,133.1391683,68.72793424,12.41323861,105.129411,62,105.1333197,15.28594992,105.129411,71.07723503,60.42044213,126.2656717,80.63818615,35.58787346,119.884864,211,274.6458442,-363.9878404,-170.4537159,0.124,
Zeus,28,ML,Impact Prep,Blind,91.69569566,76.24571474,131.9981799,71.61282758,60.16359662,115.4956843,25,71.61282758,60.16359662,130.114918,88.53583725,75.365163,131.9981799,84.24403246,70.61723308,123.695669,211,-338.4601934,-304.0313277,-37.66523949,0.05,
Zeus,28,ML,Landing,Blind,84.86911865,76.75190537,148.263155,40.76170562,24.72949377,113.7770489,60,84.48678722,74.49751593,128.4394973,78.16513361,29.58737141,117.8932209,61.97714538,38.34995275,126.7504048,211,52.68044671,374.2512043,87.88563675,0.12,
Zeus,35,M,Initiation,Blind,89.92414069,29.25878698,117.2993013,69.67660873,14.00960578,105.4616431,67,71.63290693,23.85280301,110.1992129,88.40149418,18.34946147,109.2562403,81.1142825,20.07686638,110.7831886,236,-125.1387108,41.069713,7.037108668,0.134,
